Raw Dataset Extracted from Call Reports,,,,,,,,FFIEC Call Report Reference Guide,,,,,,
Bank,Year,Schedule,Line Item,Code,Value (000s),Source Page,,Category,Code / Term,Full Name,What It Represents,Why It Matters in Analysis,,
PNC,2023,RC,Total Equity Capital,RCFD3210,"54,733,000",RC p.20,,,,,,,,
PNC,2022,RI,Net Income Attributable to Bank,RIAD4340,"6,476,000",RI p.9,,,,,,,,
PNC,2022,RI,Net Interest Income,RIAD4074,"11,640,000",RI p.8,,,,,,,,
PNC,2022,RI,Total Noninterest Income,RIAD4079,"8,060,000",RI p.9,,,,,,,,
PNC,2022,RI,Total Noninterest Expense,RIAD4093,"12,933,000",RI p.9,,,,,,,,
PNC,2022,RI,Provision for Credit Losses,RIADJJ33,"1,260,000",RI p.8,,,,,,,,
PNC,2022,RC,Total Assets,RCFD2170,"554,206,000",RC p.17,,,,,,,,
PNC,2022,RC,Total Loans (Gross),RCFD2122,"315,070,000",RC-C p.23,,,,,,,,
PNC,2022,RC,Allowance for Credit Losses,RCFD3123,"5,110,000",RC p.19,,,,,,,,
PNC,2022,RC,Total Deposits,RCON2200,"436,004,000",RC p.18,,,,,,,,
PNC,2022,RC,Total Equity Capital,RCFD3210,"52,618,000",RC p.20,,,,,,,,
PNC,2021,RI,Net Income Attributable to Bank,RIAD4340,"5,674,000",RI p.9,,,,,,,,
PNC,2021,RI,Net Interest Income,RIAD4074,"10,392,000",RI p.8,,,,,,,,
PNC,2021,RI,Total Noninterest Income,RIAD4079,"8,006,000",RI p.9,,,,,,,,
PNC,2021,RI,Total Noninterest Expense,RIAD4093,"12,191,000",RI p.9,,,,,,,,
PNC,2021,RI,Provision for Credit Losses,RIADJJ33,"-602,000",RI p.8,,,,,,,,
PNC,2021,RC,Total Assets,RCFD2170,"541,447,000",RC p.17,,,,,,,,
PNC,2021,RC,Total Loans (Gross),RCFD2122,"303,520,000",RC-C p.23,,,,,,,,
PNC,2021,RC,Allowance for Credit Losses,RCFD3123,"5,274,000",RC p.19,,,,,,,,
PNC,2021,RC,Total Deposits,RCON2200,"430,128,000",RC p.18,,,,,,,,
PNC,2021,RC,Total Equity Capital,RCFD3210,"50,487,000",RC p.20,,,,,,,,
PNC,2020,RI,Net Income Attributable to Bank,RIAD4340,"4,420,000",RI p.9,,,,,,,,
PNC,2020,RI,Net Interest Income,RIAD4074,"9,879,000",RI p.8,,,,,,,,
PNC,2020,RI,Total Noninterest Income,RIAD4079,"7,920,000",RI p.9,,,,,,,,
PNC,2020,RI,Total Noninterest Expense,RIAD4093,"12,505,000",RI p.9,,,,,,,,
PNC,2020,RI,Provision for Credit Losses,RIADJJ33,"3,990,000",RI p.8,,,,,,,,
PNC,2020,RC,Total Assets,RCFD2170,"466,233,000",RC p.17,,,,,,,,
PNC,2020,RC,Total Loans (Gross),RCFD2122,"248,320,000",RC-C p.23,,,,,,,,
PNC,2020,RC,Allowance for Credit Losses,RCFD3123,"5,094,000",RC p.19,,,,,,,,
PNC,2020,RC,Total Deposits,RCON2200,"383,933,000",RC p.18,,,,,,,,
